text,true,pred,length
"liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , goodfellas image .",3,2,18
"passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .",1,2,29
"the movie is for fans who ca n't stop loving anime , and the fanatical excess built into it .",2,1,18
a sober and affecting chronicle of the leveling effect of loss .,2,3,11
"it 's dumb , but more importantly , it 's just not scary .",0,1,11
"a study in shades of gray , offering itself up in subtle plot maneuvers ...",3,1,14
"ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .",2,3,16
"the tale of tok -lrb- andy lau -rrb- , a sleek sociopath on the trail of o -lrb- takashi sorimachi -rrb- , the most legendary of asian hitmen , is too scattershot to take hold .",1,3,32
something like scrubbing the toilet .,1,2,5
"smart , provocative and blisteringly funny .",3,4,5
"charles ' entertaining film chronicles seinfeld 's return to stand-up comedy after the wrap of his legendary sitcom , alongside wannabe comic adams ' attempts to get his shot at the big time .",3,2,30
"an effectively creepy , fear-inducing -lrb- not fear-reducing -rrb- film from japanese director hideo nakata , who takes the superstitious curse on chain letters and actually applies it .",4,3,26
